id,name,protein,dietary_fiber,sugar,category_id
64,＜畜肉類＞　うし　［乳用肥育牛肉］　そともも　赤肉　生,21.3,0,0.7,1
65,＜畜肉類＞　うし　［乳用肥育牛肉］　ランプ　脂身つき　生,18.6,0,0.6,1
66,＜畜肉類＞　うし　［乳用肥育牛肉］　ランプ　皮下脂肪なし　生,19.7,0,0.6,1
67,＜畜肉類＞　うし　［乳用肥育牛肉］　ランプ　赤肉　生,22.0,0,0.7,1
68,＜畜肉類＞　うし　［乳用肥育牛肉］　ヒレ　赤肉　生,20.8,0,0.5,1
69,＜畜肉類＞　うし　［乳用肥育牛肉］　ヒレ　赤肉　焼き,27.2,0,0.4,1
70,＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　生,12.0,0,0.3,1
71,＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　ゆで,13.2,0,0.1,1
72,＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　焼き,14.5,0,0.2,1
73,＜畜肉類＞　うし　［交雑牛肉］　リブロース　皮下脂肪なし　生,13.6,0,0.3,1
74,＜畜肉類＞　うし　［交雑牛肉］　リブロース　赤肉　生,16.7,0,0.4,1
75,＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身　生,3.6,0,0,1
76,＜畜肉類＞　うし　［交雑牛肉］　ばら　脂身つき　生,12.2,0,0.3,1
77,＜畜肉類＞　うし　［交雑牛肉］　もも　脂身つき　生,16.4,0,0.4,1
78,＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　生,18.3,0,0.4,1
79,＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　ゆで,25.7,0,0.2,1
80,＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　焼き,25.0,0,0.5,1
81,＜畜肉類＞　うし　［交雑牛肉］　もも　赤肉　生,19.3,0,0.5,1
82,＜畜肉類＞　うし　［交雑牛肉］　もも　脂身　生,4.8,0,0.1,1
83,＜畜肉類＞　うし　［交雑牛肉］　ヒレ　赤肉　生,19.0,0,0.4,1
84,＜畜肉類＞　うし　［輸入牛肉］　かた　脂身つき　生,19.0,0,0.1,1
85,＜畜肉類＞　うし　［輸入牛肉］　かた　皮下脂肪なし　生,19.6,0,0.1,1
